Date;Price
janv 02, 1986;25,56
janv 03, 1986;26
janv 06, 1986;26,53
janv 07, 1986;25,85
janv 08, 1986;25,87
janv 09, 1986;26,03
janv 10, 1986;25,65
janv 13, 1986;25,08
janv 14, 1986;24,97
janv 15, 1986;25,18
janv 16, 1986;23,98
janv 17, 1986;23,63
janv 20, 1986;21,33
janv 21, 1986;20,61
janv 22, 1986;20,25
janv 23, 1986;19,93
janv 24, 1986;19,45
janv 27, 1986;20,87
janv 28, 1986;19,45
janv 29, 1986;19,61
janv 30, 1986;19,58
janv 31, 1986;18,95
févr 03, 1986;17,42
févr 04, 1986;15,58
févr 05, 1986;16,28
févr 06, 1986;16,6
févr 07, 1986;17,7
févr 10, 1986;16,78
févr 11, 1986;16,28
févr 12, 1986;15,74
févr 13, 1986;16,43
févr 14, 1986;16,03
févr 18, 1986;14,7
févr 19, 1986;15,08
févr 20, 1986;14,13
févr 21, 1986;13,63
févr 24, 1986;14,68
févr 25, 1986;14,68
févr 26, 1986;14,62
févr 27, 1986;14,05
févr 28, 1986;13,23
mars 03, 1986;11,98
mars 04, 1986;11,98
mars 05, 1986;12,03
mars 06, 1986;13,13
mars 07, 1986;12,24
mars 10, 1986;12,94
mars 11, 1986;13,23
mars 12, 1986;14,05
mars 13, 1986;12,6
mars 14, 1986;12,55
mars 17, 1986;13,28
mars 18, 1986;14,03
mars 19, 1986;13,25
mars 20, 1986;12,75
mars 21, 1986;13,95
mars 24, 1986;12,2
mars 25, 1986;12,43
mars 26, 1986;12,03
mars 27, 1986;11,35
mars 31, 1986;10,25
avr 01, 1986;11,13
avr 02, 1986;11,35
avr 03, 1986;11,7
avr 04, 1986;12,75
avr 07, 1986;14,39
avr 08, 1986;12,83
avr 09, 1986;13
avr 10, 1986;13,45
avr 11, 1986;13,63
avr 14, 1986;12,94
avr 15, 1986;12,72
avr 16, 1986;11,5
avr 17, 1986;11,75
avr 18, 1986;11,88
avr 21, 1986;12,48
avr 22, 1986;13,13
avr 23, 1986;13,7
avr 24, 1986;13,65
avr 25, 1986;14,23
avr 28, 1986;13,34
avr 29, 1986;13,63
avr 30, 1986;13,38
mai 01, 1986;13,8
mai 02, 1986;14,65
mai 05, 1986;14,32
mai 06, 1986;14,43
mai 07, 1986;15,13
mai 08, 1986;15,7
mai 09, 1986;15,83
mai 12, 1986;15,75
mai 13, 1986;15,65
mai 14, 1986;15,53
mai 15, 1986;15,68
mai 16, 1986;16,08
mai 19, 1986;17,13
mai 20, 1986;16,18
mai 21, 1986;15,53
mai 22, 1986;16,04
mai 23, 1986;16,95
mai 27, 1986;15,1
mai 28, 1986;14,65
mai 29, 1986;14,5
mai 30, 1986;14,3
juin 02, 1986;13,8
juin 03, 1986;13,35
juin 04, 1986;13,15
juin 05, 1986;13,21
juin 06, 1986;12,73
juin 09, 1986;12,61
juin 10, 1986;12,38
juin 11, 1986;13,52
juin 12, 1986;13,69
juin 13, 1986;13,83
juin 16, 1986;13,65
juin 17, 1986;13,65
juin 18, 1986;13,62
juin 19, 1986;13,73
juin 20, 1986;14,44
juin 23, 1986;14,05
juin 24, 1986;13,98
juin 25, 1986;13,23
juin 26, 1986;13,14
juin 27, 1986;13,38
juin 30, 1986;12,8
juil 01, 1986;12,39
juil 02, 1986;12,04
juil 03, 1986;11,7
juil 07, 1986;11,18
juil 08, 1986;11,19
juil 09, 1986;11
juil 10, 1986;11,13
juil 11, 1986;11,13
juil 14, 1986;11,23
juil 15, 1986;11,85
juil 16, 1986;12,68
juil 17, 1986;12,3
juil 18, 1986;12,8
juil 21, 1986;13,07
juil 22, 1986;10,88
juil 23, 1986;10,83
juil 24, 1986;10,95
juil 25, 1986;10,83
juil 28, 1986;11,09
juil 29, 1986;11,63
juil 30, 1986;11,73
juil 31, 1986;11,23
août 01, 1986;11,56
août 04, 1986;14
août 05, 1986;14,35
août 06, 1986;14,8
août 07, 1986;15,18
août 08, 1986;14,83
août 11, 1986;14,92
août 12, 1986;15,5
août 13, 1986;15,28
août 14, 1986;15,43
août 15, 1986;15,83
août 18, 1986;15,58
août 19, 1986;14,98
août 20, 1986;15,23
août 21, 1986;15,23
août 22, 1986;15,48
août 25, 1986;15,48
août 26, 1986;15,78
août 27, 1986;15,83
août 28, 1986;15,83
août 29, 1986;15,93
sept 02, 1986;16,43
sept 03, 1986;16,03
sept 04, 1986;16,18
sept 05, 1986;15,63
sept 08, 1986;15,63
sept 09, 1986;15
sept 10, 1986;14,9
sept 11, 1986;15,05
sept 12, 1986;15,06
sept 15, 1986;14,31
sept 16, 1986;13,8
sept 17, 1986;14,03
sept 18, 1986;14,55
sept 19, 1986;14,47
sept 22, 1986;13,94
sept 23, 1986;14,3
sept 24, 1986;14,55
sept 25, 1986;14,28
sept 26, 1986;14,43
sept 29, 1986;14,93
sept 30, 1986;14,7
oct 01, 1986;15,23
oct 02, 1986;15,38
oct 03, 1986;14,86
oct 06, 1986;14,83
oct 07, 1986;15,6
oct 08, 1986;15,35
oct 09, 1986;15,05
oct 10, 1986;14,98
oct 14, 1986;14,55
oct 15, 1986;14,83
oct 16, 1986;14,53
oct 17, 1986;14,85
oct 20, 1986;15,17
oct 21, 1986;15,22
oct 22, 1986;14,85
oct 23, 1986;14,88
oct 24, 1986;14,93
oct 27, 1986;14,4
oct 28, 1986;14,18
oct 29, 1986;13,73
oct 30, 1986;15,08
oct 31, 1986;15,25
nov 03, 1986;14,7
nov 04, 1986;15,05
nov 05, 1986;14,93
nov 06, 1986;15,08
nov 07, 1986;15,15
nov 10, 1986;15,3
nov 11, 1986;15,39
nov 12, 1986;15,33
nov 13, 1986;15,55
nov 14, 1986;15,68
nov 17, 1986;15,62
nov 18, 1986;15,65
nov 19, 1986;15,52
nov 20, 1986;15,1
nov 21, 1986;15,13
nov 24, 1986;14,98
nov 25, 1986;15,05
nov 26, 1986;15
nov 28, 1986;15
déc 01, 1986;15,29
déc 02, 1986;15,22
déc 03, 1986;15,13
déc 04, 1986;15,2
déc 05, 1986;15,14
déc 08, 1986;15,01
déc 09, 1986;14,93
déc 10, 1986;15,12
déc 11, 1986;15,49
déc 12, 1986;16,13
déc 15, 1986;16,38
déc 16, 1986;16,11
déc 17, 1986;15,83
déc 18, 1986;16,28
déc 19, 1986;16,55
déc 22, 1986;16,95
déc 23, 1986;16,93
déc 24, 1986;17,26
déc 29, 1986;17,65
déc 30, 1986;17,73
déc 31, 1986;17,93
janv 02, 1987;18,13
janv 05, 1987;17,98
janv 06, 1987;18,21
janv 07, 1987;18,28
janv 08, 1987;18,63
janv 09, 1987;18,78
janv 12, 1987;19
janv 13, 1987;18,86
janv 14, 1987;19,13
janv 15, 1987;19,09
janv 16, 1987;19,13
janv 19, 1987;18,7
janv 20, 1987;18,73
janv 21, 1987;18,6
janv 22, 1987;18,76
janv 23, 1987;18,59
janv 26, 1987;18,63
janv 27, 1987;18,48
janv 28, 1987;18,56
janv 29, 1987;18,68
janv 30, 1987;18,73
févr 02, 1987;18,59
févr 03, 1987;18,38
févr 04, 1987;18,26
févr 05, 1987;18,56
févr 06, 1987;18,44
févr 09, 1987;18,37
févr 10, 1987;18,43
févr 11, 1987;18,03
févr 12, 1987;18,05
févr 13, 1987;17,83
févr 17, 1987;17,78
