Time_Frame,Model,MSE,MAE
t+1,CNN,9.233937811370001,1.662219812995583
t+1,RNN,11.243095544503335,2.13128682768185
t+1,LSTM,8.243363068368058,1.6013467692274974
t+7,CNN,23.801134625718117,3.240576041786456
t+7,RNN,27.482069702571284,3.570852395155372
t+7,LSTM,24.447549722808947,3.3883475329896595
t+28,CNN,82.41522535646526,7.202048267207235
t+28,RNN,78.75935372877285,7.011461935228778
t+28,LSTM,81.63163104997254,7.182016085109518
t+91,CNN,199.82721105907146,11.363926725617265
t+91,RNN,277.60829192884825,13.936306469170269
t+91,LSTM,176.54530195471784,10.812029901357192
