Time_Frame,Model,MSE,MAE
t+1,CNN,9.573364832710713,1.8833886404224496
t+1,RNN,8.375562476596322,1.6746798434096786
t+1,LSTM,13.390506844924696,2.279811304290421
t+7,CNN,25.86060696178104,3.4433452577571555
t+7,RNN,26.012290977681943,3.53345254215581
t+7,LSTM,27.271955968533707,3.604700586033237
t+28,CNN,78.45983016525405,6.944913908561216
t+28,RNN,90.51444968261193,7.514065025284306
t+28,LSTM,84.65059964053043,7.2636568603451215
t+91,CNN,180.4528836957261,10.802500161046996
t+91,RNN,182.95253552878302,11.080009659588773
t+91,LSTM,190.9894325862139,11.039802605401709
